Estado;Comercio de veiculos;Domicilios particulares;PIB;Empregados;Energia eletrica;Populacao (Pessoas);Atividades industriais CNAE 2 Metalurgia;Indice e variacao da receita;Deposito de material de construcao
São Paulo;0.05;1.00;1.00;1.00;1.00;1.00;1.00;0.67;0.85
Minas Gerais;0.84;0.33;0.46;0.31;0.32;0.63;0.45;0.61;0.91
Paraná;0.23;0.29;0.25;0.20;0.23;0.27;0.24;0.00;0.95
Pará;0.02;0.02;0.14;0.09;0.05;0.25;0.18;0.81;0.00
Santa Catarina;1.00;0.24;0.16;0.15;0.21;0.23;0.15;0.65;0.88
Rio Grande do Sul;0.005;0.27;0.25;0.21;0.19;0.20;0.24;0.69;0.88
Bahia;0.10;0.16;0.31;0.12;0.11;0.18;0.31;1.00;0.88
Rio de Janeiro;0.05;0.17;0.37;0.34;0.19;0.17;0.37;0.71;1.00
Goiás;0.20;0.17;0.15;0.09;0.10;0.11;0.14;0.64;0.92
Espírito Santo;0.10;0.07;0.08;0.06;0.06;0.08;0.08;0.66;0.81
Pernambuco;0.02;0.09;0.19;0.07;0.07;0.08;0.20;0.72;0.88
Ceará;0.30;0.08;0.18;0.07;0.07;0.05;0.19;0.61;0.90
Mato Grosso;0.04;0.09;0.07;0.08;0.07;0.04;0.06;0.00;0.00
Amazonas;0.01;0.01;0.06;0.04;0.03;0.04;0.08;0.00;0.00
Maranhão;0.10;0.05;0.12;0.04;0.03;0.03;0.14;0.00;0.00
Mato Grosso do Sul;0.50;0.06;0.05;0.05;0.04;0.03;0.05;0.00;0.00
Paraíba;0.19;0.04;0.07;0.02;0.02;0.03;0.07;0.00;0.00
Alagoas;0.18;0.02;0.05;0.02;0.02;0.03;0.06;0.00;0.00
Rio Grande do Norte;0.28;0.04;0.06;0.02;0.02;0.02;0.06;0.00;0.00
Sergipe;0.07;0.02;0.04;0.01;0.01;0.02;0.04;0.00;0.00
Distrito Federal;0.04;0.03;0.05;0.10;0.05;0.01;0.05;0.00;0.00
Rondônia;0.05;0.01;0.02;0.01;0.01;0.01;0.03;0.00;0.00
Tocantins;0.12;0.00;0.02;0.01;0.01;0.01;0.02;0.00;0.00
Piauí;0.12;0.04;0.06;0.02;0.01;0.00;0.06;0.00;0.00
Amapá;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Acre;0.00;0.00;0.01;0.00;0.00;0.00;0.01;0.00;0.00
Roraima;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
